Test Donor,Learning Rate,Batch Size,Number of Neurons,Average of Accuracy,Average of Average Precision,Average of AUC
1,0.0001,8,512,0.6419846304273044,0.8318394766141295,0.7860992429497599
2,0.0001,8,512,0.7428508398019773,0.5675707215323563,0.6867877226122096
3,0.0001,8,512,0.6258800440466041,0.6968838799371462,0.6851233985378301
5,0.0001,8,512,0.676656561747506,0.7128079686987566,0.7790235076373914
6,0.0001,8,512,0.7683916539537249,0.6424165518485299,0.7113586657580776
1,0.1,64,32,0.5616514578752936,0.5602848166345105,0.5
2,0.1,64,32,0.5779709023197379,0.38771537219006597,0.5
3,0.1,64,32,0.4420973643080421,0.5235889102017619,0.5
5,0.1,64,32,0.5242722308221535,0.40877515479876164,0.5
6,0.1,64,32,0.40150568904144424,0.482997234935164,0.5
1,0.01,64,32,0.44615438185190176,0.5602848166345105,0.5
2,0.01,64,32,0.49678755178654227,0.38771537219006597,0.5
3,0.01,64,32,0.36733891020176185,0.5235889102017619,0.5
5,0.01,64,32,0.37739723082215343,0.4109386163372231,0.5057692307692307
6,0.01,64,32,0.326747234935164,0.482997234935164,0.5
1,0.1,32,512,0.5920249659741852,0.5872941310180817,0.5635208572522006
2,0.1,32,512,0.5766042610789548,0.38771537219006597,0.5
3,0.1,32,512,0.4016526356919579,0.5235889102017619,0.5
5,0.1,32,512,0.4974081957344341,0.4689079472542085,0.5962239205483564
6,0.1,32,512,0.482997234935164,0.482997234935164,0.5
1,0.01,32,1024,0.44615438185190176,0.5602848166345105,0.5
2,0.01,32,1024,0.6921013371023466,0.38771537219006597,0.5
3,0.01,32,1024,0.34016499715828363,0.5188415350374497,0.48761194029850746
5,0.01,32,1024,0.5976640436876506,0.40877515479876164,0.5
6,0.01,32,1024,0.2126168001525553,0.482997234935164,0.5
1,0.1,64,1024,0.5008485421247064,0.5717577187324125,0.532051282051282
2,0.1,64,1024,0.48085262709202675,0.455425171420763,0.57298197492163
3,0.1,64,1024,0.4924445865302643,0.562164253940149,0.5790692956832197
5,0.1,64,1024,0.6319777691778465,0.40877515479876164,0.5
6,0.1,64,1024,0.2126168001525553,0.482997234935164,0.5
1,0.0001,8,128,0.7657124014747013,0.8899814447634609,0.8788929172690557
2,0.0001,8,128,0.7965948011546342,0.7339686979503888,0.8140285913165998
3,0.0001,8,128,0.7662475134981528,0.805812076013013,0.8287756198867573
5,0.0001,8,128,0.742251461988304,0.7437398781401277,0.8148560328194316
6,0.0001,8,128,0.8014723175692855,0.7959847219851722,0.8476976644989547
1,0.1,32,128,0.5660374227875742,0.5722031995483166,0.5081521739130435
2,0.1,32,128,0.6697415159809157,0.4571783846677843,0.5716105015673981
3,0.1,32,128,0.575059498437056,0.5443851074685473,0.5205721003134796
5,0.1,32,128,0.5569111197110423,0.40877515479876164,0.5
6,0.1,32,128,0.4558312674802949,0.49346075317604354,0.525
1,0.0001,16,32,0.749962328562241,0.8886501861672591,0.8575092204445737
2,0.0001,16,32,0.8080536486142894,0.7365377698343476,0.8167090672691752
3,0.0001,16,32,0.7380772236430804,0.7617575760854567,0.8062711388268402
5,0.0001,16,32,0.7375913742690059,0.7451911972286489,0.790604807277029
6,0.0001,16,32,0.8045552059496568,0.7972313288383395,0.8440069255310633
1,0.1,8,32,0.32421810734209777,0.5602848166345105,0.5
2,0.1,8,32,0.49678755178654227,0.38771537219006597,0.5
3,0.1,8,32,0.25320847541915315,0.5235889102017619,0.5
5,0.1,8,32,0.4611594857241142,0.4793522492729149,0.5709247648902821
6,0.1,8,32,0.6311331998474446,0.482997234935164,0.5
1,0.0001,32,128,0.76703875390736,0.9032479297701979,0.8767676717102778
2,0.0001,32,128,0.8144480713719507,0.7880934802289694,0.862891282868991
3,0.0001,32,128,0.7272742611537368,0.7768112318490872,0.7949926512196703
5,0.0001,32,128,0.7707398090815274,0.7583430601274683,0.8113643405348756
6,0.0001,32,128,0.79413853928299,0.7831742209261319,0.8285919625741807
1,0.0001,32,32,0.7188268852544831,0.8664269775570238,0.8303341009539068
2,0.0001,32,32,0.7785437325197051,0.7588815032365454,0.8336222472843324
3,0.0001,32,32,0.7052918087524865,0.7408182753436879,0.7626153472635693
5,0.0001,32,32,0.7096405228758169,0.7331773549969249,0.7883252119569586
6,0.0001,32,32,0.7647549580472922,0.7931146841020577,0.82074656848804
1,0.001,16,1024,0.4040348166345104,0.5602848166345105,0.5
2,0.001,16,1024,0.35238928523354424,0.40786396822282817,0.5415671641791044
3,0.001,16,1024,0.4094584754191532,0.5235889102017619,0.5
5,0.001,16,1024,0.5585859563123494,0.40877515479876164,0.5
6,0.001,16,1024,0.3281138761759471,0.482997234935164,0.5
1,1e-05,16,1024,0.7689140530354017,0.8837589359272807,0.8512568211249767
2,1e-05,16,1024,0.8204683971223883,0.7754673455170743,0.8325055222204263
3,1e-05,16,1024,0.7608322676896846,0.7960171062321948,0.8322616521946558
5,1e-05,16,1024,0.7579818111455108,0.7912671964878855,0.8282936007874615
6,1e-05,16,1024,0.8173150266971777,0.8001942541990579,0.8376650192697968
1,0.01,8,32,0.2899043818519017,0.5602848166345105,0.5
2,0.01,8,32,0.4624738262963462,0.38771537219006597,0.5
3,0.01,8,32,0.4420973643080421,0.5235889102017619,0.5
5,0.01,8,32,0.41213987788097695,0.42019449526221975,0.5120493730407523
6,0.01,8,32,0.3281138761759471,0.48697002923976607,0.5027173913043479
1,0.001,8,32,0.6297348229909813,0.7814687283452646,0.767964327276921
2,0.001,8,32,0.6732749659741852,0.4291795753858933,0.5606367138640117
3,0.001,8,32,0.507902635691958,0.5384573645962069,0.516808536291295
5,0.001,8,32,0.42280379256965944,0.5338609246508388,0.587391304347826
6,0.001,8,32,0.6311331998474446,0.5307062447920275,0.5466335020748562
1,0.0001,32,512,0.7601906847788695,0.8495618222552347,0.8726802548913416
2,0.0001,32,512,0.8026284007119248,0.7322938961896699,0.8211312034500242
3,0.0001,32,512,0.723230143506678,0.7639389822931764,0.8205521112930948
5,0.0001,32,512,0.7502676728586171,0.7331120747214728,0.8186790137063893
6,0.0001,32,512,0.7991879608441392,0.7701892594639916,0.8353590630025092
1,0.001,16,64,0.7242128258626104,0.7285973782810303,0.7260995814325382
2,0.001,16,64,0.592946747730366,0.43108756457502984,0.5936395784125355
3,0.001,16,64,0.45483891020176187,0.5413815073895203,0.5357692307692308
5,0.001,16,64,0.28683888028895765,0.40894585622644625,0.5007911392405063
6,0.001,16,64,0.5612056636155606,0.5477588578929431,0.604052427734744
1,1e-05,64,32,0.6504198542498616,0.8405972471214954,0.7790808667396809
2,1e-05,64,32,0.7089676717368869,0.6840353498460453,0.7415871421448388
3,1e-05,64,32,0.6035210642227906,0.7121315929761906,0.7018897367689608
5,1e-05,64,32,0.6540516425868593,0.666953753597631,0.7070580552867765
6,1e-05,64,32,0.684594298245614,0.7324139284532524,0.7511218666128391
1,0.001,32,64,0.6167365411076711,0.660458295581626,0.6633115789981013
2,0.001,32,64,0.7181516504389704,0.5864852394786156,0.7024284985768283
3,0.001,32,64,0.5004306976413754,0.6504605760880546,0.6468964525217253
5,0.001,32,64,0.6288022445820434,0.5723834703511949,0.7113922532404684
6,0.001,32,64,0.7098978197304856,0.6804780108562358,0.679200152214324
1,1e-05,32,512,0.7054516085610445,0.8725785546147877,0.8318072046588124
2,1e-05,32,512,0.799790236460717,0.7590300579915878,0.827714788431961
3,1e-05,32,512,0.6643995098039216,0.7687219254191758,0.7681695010614469
5,1e-05,32,512,0.7203323873409013,0.7184901725203352,0.7692513592721211
6,1e-05,32,512,0.7620923913043478,0.7785557499927678,0.8038267924093255
1,0.01,32,128,0.4804681073420978,0.5602848166345105,0.5
2,0.01,32,128,0.72933903920073,0.3956609607992701,0.5054347826086957
3,0.01,32,128,0.4016526356919579,0.5235889102017619,0.5
5,0.01,32,128,0.6319777691778465,0.40877515479876164,0.5
6,0.01,32,128,0.4466302758708365,0.4949156178489702,0.5081521739130435
1,0.1,16,1024,0.4886202812551413,0.5497453102682905,0.46485074626865674
2,0.1,16,1024,0.41659431507156636,0.40731844378859505,0.5432835820895522
3,0.1,16,1024,0.36462151889741407,0.522853516458581,0.4981343283582089
5,0.1,16,1024,0.695703259373925,0.4818271028507097,0.5793495297805642
6,0.1,16,1024,0.2126168001525553,0.482997234935164,0.5
1,0.0001,64,64,0.7687280795231899,0.8750430297683998,0.8466608843579462
2,0.0001,64,64,0.7769660190544563,0.7368317660218899,0.8313890841450442
3,0.0001,64,64,0.6573529411764706,0.7434667739809916,0.7442110567660578
5,0.0001,64,64,0.7444025197798418,0.754903062039517,0.8204027505920404
6,0.0001,64,64,0.7823131197559114,0.8079990816394307,0.8239274556111683
1,1e-05,8,32,0.6930176036852576,0.8686838052203858,0.8326485284325273
2,1e-05,8,32,0.7371404854848118,0.7027555403866629,0.7743428441205517
3,1e-05,8,32,0.7052749360613811,0.7510219696996014,0.7518879985627381
5,1e-05,8,32,0.6966610767113863,0.6946539498380735,0.7435626964113765
6,1e-05,8,32,0.7501636791253496,0.772734637985852,0.8014474140682832
1,0.0001,32,1024,0.7730989945558696,0.8386154042783263,0.8523883259484442
2,0.0001,32,1024,0.8248670749764437,0.7617420965701527,0.8544577835474685
3,0.0001,32,1024,0.7374831273088945,0.7608278294548544,0.8328834200392032
5,0.0001,32,1024,0.7405282507739938,0.7481680949143333,0.831930575696484
6,0.0001,32,1024,0.7834699974574116,0.7560852778948989,0.800840071840803
1,1e-05,16,64,0.7302508188630142,0.8818798944791821,0.8414555917036786
2,1e-05,16,64,0.7488545265550919,0.7349571924955517,0.8086023264388451
3,1e-05,16,64,0.6746296888320545,0.7494593275601498,0.7580099644476472
5,1e-05,16,64,0.715703474372205,0.7315394538619812,0.7797655878177581
6,1e-05,16,64,0.7695938215102974,0.7756060940827936,0.8097007523652333
1,1e-05,32,128,0.6901963121251551,0.859705564110164,0.7973388407429727
2,1e-05,32,128,0.753067184158179,0.7332944370955143,0.7898866128751831
3,1e-05,32,128,0.715213839158852,0.7648549672328802,0.7550518320457065
5,1e-05,32,128,0.7303556071551427,0.7484386956259079,0.7838447929151295
6,1e-05,32,128,0.7664084350368676,0.7774095170287739,0.8041733372961082
1,0.001,64,32,0.6977779927760578,0.8327303494262824,0.765243844430462
2,0.001,64,32,0.7933580487877836,0.6358808936832847,0.741545478969462
3,0.001,64,32,0.5645824452969593,0.6977843818714486,0.6703496376883398
5,0.001,64,32,0.6942552459580323,0.705516756782439,0.7727151345545249
6,0.001,64,32,0.7086130180523773,0.7457192147505385,0.7743435430695471
1,1e-05,32,64,0.7368641192174811,0.8758876585157198,0.8275281839497223
2,1e-05,32,64,0.753626740551293,0.7447019139428503,0.8183522688550955
3,1e-05,32,64,0.6289402173913043,0.7187306188277177,0.7029029260979763
5,1e-05,32,64,0.7007933436532507,0.7092381560659095,0.7658541331927644
6,1e-05,32,64,0.7376843376557335,0.7782441995303039,0.7924853244878975
1,0.01,32,512,0.5945985421247064,0.5602848166345105,0.5
2,0.01,32,512,0.30789866289765333,0.38771537219006597,0.5
3,0.01,32,512,0.4016526356919579,0.5235889102017619,0.5
5,0.01,32,512,0.5974748452012384,0.41021746249106933,0.5038461538461538
6,0.01,32,512,0.36886680015255535,0.482997234935164,0.5
1,1e-05,16,128,0.7071148539507336,0.8927881323163388,0.8391711561633858
2,1e-05,16,128,0.7726060408908033,0.7686178419723098,0.8065495524290995
3,1e-05,16,128,0.7289233447001989,0.7797224077635387,0.7768388693556694
5,1e-05,16,128,0.7120528035775713,0.7340053317811704,0.7852102303942301
6,1e-05,16,128,0.7584882723112129,0.7837407623277626,0.8241432347309716
1,0.01,64,512,0.4383485421247065,0.5602848166345105,0.5
2,0.01,64,512,0.27358493740745726,0.38771537219006597,0.5
3,0.01,64,512,0.4016526356919579,0.5235889102017619,0.5
5,0.01,64,512,0.44002515479876164,0.41117414469775154,0.5040995397008056
6,0.01,64,512,0.482997234935164,0.482997234935164,0.5
1,0.01,16,512,0.4804681073420978,0.5602848166345105,0.5
2,0.01,16,512,0.6122846278099341,0.38771537219006597,0.5
3,0.01,16,512,0.4016526356919579,0.5235889102017619,0.5
5,0.01,16,512,0.5242722308221535,0.40877515479876164,0.5
6,0.01,16,512,0.36886680015255535,0.482997234935164,0.5
1,0.01,8,1024,0.44615438185190176,0.5602848166345105,0.5
2,0.01,8,1024,0.5984179865691508,0.42063548238290344,0.5515678941311852
3,0.01,8,1024,0.25320847541915315,0.5235889102017619,0.5
5,0.01,8,1024,0.5976640436876506,0.40877515479876164,0.5
6,0.01,8,1024,0.3281138761759471,0.482997234935164,0.5
1,0.1,32,32,0.5616514578752936,0.5602848166345105,0.5
2,0.1,32,32,0.5766042610789548,0.38771537219006597,0.5
3,0.1,32,32,0.4420973643080421,0.5235889102017619,0.5
5,0.1,32,32,0.5242722308221535,0.40877515479876164,0.5
6,0.1,32,32,0.4546306890414442,0.4952568503197794,0.5326923076923077
1,1e-05,64,128,0.6951308498227666,0.8724639877336214,0.7999838786574253
2,1e-05,64,128,0.7544089603804909,0.7413290656474287,0.7864637922556249
3,1e-05,64,128,0.7242069835180449,0.7645708416514456,0.7739471335783683
5,1e-05,64,128,0.7194422944616443,0.7366418277156642,0.783933272984646
6,1e-05,64,128,0.7639540427154844,0.7432416279880198,0.8112994230836726
1,0.01,32,32,0.44615438185190176,0.5602848166345105,0.5
2,0.01,32,32,0.2871718939291964,0.3927851320862373,0.5093283582089552
3,0.01,32,32,0.4420973643080421,0.5235889102017619,0.5
5,0.01,32,32,0.4023359563123495,0.40877515479876164,0.5
6,0.01,32,32,0.5577556890414442,0.482997234935164,0.5
1,0.0001,8,64,0.7245825761654776,0.8822947189351625,0.8634267618043603
2,0.0001,8,64,0.8119193176889368,0.7780996202466859,0.8593701700302315
3,0.0001,8,64,0.7130754475703325,0.7529927887176298,0.7696929622023394
5,0.0001,8,64,0.692563209494324,0.7581736977814494,0.7922657291176047
6,0.0001,8,64,0.7898749364352912,0.7980516411521592,0.8310924159065429
1,1e-05,32,1024,0.7313864771690521,0.8763389916830673,0.856356613807698
2,1e-05,32,1024,0.8061450247528454,0.7925750436260796,0.8430076877170367
3,1e-05,32,1024,0.7365631216254618,0.7864677750703367,0.8220331139247796
