Test Donor,Pre-layer,Learning Rate,Batch Size,Average of Accuracy,Average of Average Precison,Average of AUC
4,mixed8,0.001,16,0.8939397856233301,0.9255350934589766,0.94948181450569
4,mixed8,0.001,32,0.9025841893443494,0.9221166737285904,0.9430605789902753
4,mixed8,0.01,16,0.8496288926375927,0.9242801172564548,0.9447168603647113
4,mixed8,0.01,32,0.8435002666356614,0.8852775917116926,0.9525897951892462
4,mixed9,0.001,16,0.8921346152488695,0.8998807870203634,0.9253618521258424
4,mixed9,0.001,32,0.8755251853497423,0.8815669030392008,0.926489053932652
4,mixed9,0.01,16,0.9087519243516539,0.9020692634774804,0.9325173230931034
4,mixed9,0.01,32,0.8982842331487794,0.9198079308194256,0.941914421446276
