Test Donor,Pre-layer,Learning Rate,Batch Size,Average of Accuracy,Average of Average Precison,Average of AUC
4,mixed8,0.001,16,0.9047824705165819,0.9086966033297686,0.9523012888689555
4,mixed8,0.001,32,0.8683711251425577,0.9205242074911899,0.9499960083877909
4,mixed8,0.01,16,0.7642532553324135,0.8922701136176485,0.8582628465315416
4,mixed8,0.01,32,0.8986094537391789,0.9173298292269878,0.9513715033596759
4,mixed9,0.001,16,0.902706163505729,0.9207211198482588,0.9422684961912287
4,mixed9,0.001,32,0.8960579495717648,0.9160482051814635,0.9322802781849596
4,mixed9,0.01,16,0.9050300531153687,0.9066836851954058,0.9457275010496223
4,mixed9,0.01,32,0.9020657404740016,0.9083836583049594,0.9377034694831551
